CopyPack ID,Product Name,Product ID,Lane,Formula,Formula Meaning,Guide Angle Label,Guide Use Case,Guide Best For,Guide Tone,Guide Claim Risk,Guide Do,Guide Do Not,Guide Production Readiness,Guide Operator Note,Guide Compliance Note,Status
BOSMAX_SERUM_CP_0001,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Private Confidence Reset,Opening hook for viewers seeking a quiet personal reset moment,Operators building soft-entry STEALTH lane content for new audiences,"Calm, private, reassuring","LOW - metaphor only, no medical framing",Frame around personal routine and quiet confidence; keep language general,"Do not name body parts, conditions, or imply a medical fix",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Private Confidence Reset' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - keep all phrasing metaphor-level per compliance class STEALTH_METAPHOR_REQUIRED,SEED_READY
BOSMAX_SERUM_CP_0002,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Discreet Night Routine,Evening / wind-down routine framing for low-key product placement,Operators scripting bedtime or end-of-day routine sequences,"Soft-spoken, intimate, unhurried",LOW - lifestyle routine framing only,Anchor the moment in a nightly ritual; let the product sit in the background,Do not escalate into explicit or suggestive language at any point,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Discreet Night Routine' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - night-routine framing must stay lifestyle-only, never clinical or explicit",SEED_READY
BOSMAX_SERUM_CP_0003,BOSMAX Serum,BOSMAX_SERUM,STEALTH,HSO,Hook -> Story -> Offer,Premium Masculine Self-Care,Positioning the product as part of an upscale self-care standard,Operators targeting audiences who respond to quality / premium cues,"Confident, polished, understated","LOW-MODERATE - keep premium language aspirational, not comparative-medical","Lean on quality, ritual, and self-respect as the throughline",Do not claim superiority over medical products or make efficacy comparisons,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Premium Masculine Self-Care' angle on BOSMAX Serum. HSO structure - open on a relatable hook, carry it through a short story beat, land on the product as the natural offer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - premium positioning must remain lifestyle-grade, not performance-claim grade",SEED_READY
BOSMAX_SERUM_CP_0004,BOSMAX Serum,BOSMAX_SERUM,STEALTH,AIDA,Attention -> Interest -> Desire -> Action,Soft Stealth Reminder,Light-touch reminder beat placed mid-script to re-anchor the viewer,Operators needing a low-pressure nudge between hook and offer,"Gentle, non-pushy, conversational",LOW - reminder framing carries minimal claim surface,Keep the reminder short and tied back to the routine already established,Do not turn the reminder into a second hard sell or stack new claims onto it,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Soft Stealth Reminder' angle on BOSMAX Serum. AIDA structure - open with a clean attention beat, build interest and desire through the routine story, close on a soft action cue. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - reminder beats must echo the established metaphor, not introduce new claims",SEED_READY
BOSMAX_SERUM_CP_0005,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Batch Hook Variant,Variant slot for A/B batch testing across STEALTH creative sets,Operators running multi-variant batches who need controlled hook diversity,Adaptive - matches whichever batch tone the operator selects,LOW - variant role only; underlying claim surface unchanged from base angle,Treat as a structural slot - keep the swapped-in hook within the same metaphor family,Do not introduce a new product story or compliance class mid-batch,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Batch Hook Variant' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - batch variants inherit the base angle's compliance class; do not reclassify per-variant,SEED_READY
BOSMAX_SERUM_CP_0006,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Stealth Routine Angle,Core routine-build angle that frames the product as a daily habit,Operators building the primary STEALTH narrative spine for a campaign,"Steady, habit-forming, low-drama",LOW - habit framing keeps claim surface minimal,Build the angle around consistency and a repeatable daily moment,Do not attach outcome promises or before/after framing to the routine,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Stealth Routine Angle' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - routine angles must stay outcome-neutral; no implied results timeline,SEED_READY
BOSMAX_SERUM_CP_0007,BOSMAX Serum,BOSMAX_SERUM,STEALTH,HSO,Hook -> Story -> Offer,Confidence Recovery Angle,Angle for viewers re-engaging with self-care after a lapse in routine,Operators targeting a 'getting back on track' emotional entry point,"Warm, encouraging, judgment-free","LOW-MODERATE - keep 'recovery' framed as routine, not remedy","Frame recovery as returning to a personal habit, not fixing a problem",Do not use 'recovery' in a way that implies treating a condition,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Confidence Recovery Angle' angle on BOSMAX Serum. HSO structure - open on a relatable hook, carry it through a short story beat, land on the product as the natural offer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - 'recovery' language must read as routine-return, never medical recovery",SEED_READY
BOSMAX_SERUM_CP_0008,BOSMAX Serum,BOSMAX_SERUM,STEALTH,AIDA,Attention -> Interest -> Desire -> Action,Personal Care Cue,Short cue line that bridges a lifestyle moment into the product beat,Operators needing a transition line between story and product reveal,"Light, natural, unforced",LOW - bridging cue carries no independent claim,Keep the cue brief and let it flow naturally from the preceding scene,Do not let the cue carry claims that belong in the main angle copy,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Personal Care Cue' angle on BOSMAX Serum. AIDA structure - open with a clean attention beat, build interest and desire through the routine story, close on a soft action cue. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - cue lines must not introduce claims outside the locked angle copy,SEED_READY
BOSMAX_SERUM_CP_0009,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Low-Key Masculine Reminder,Understated reminder framing aimed at male audiences who prefer subtlety,Operators scripting for audiences that respond poorly to hard-sell tone,"Matter-of-fact, low-pressure, peer-to-peer",LOW - peer-reminder framing keeps pressure and claim surface low,"Write as one guy passing along a useful habit, not as a pitch","Do not escalate into urgency language ('act now', 'don't miss out')",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Low-Key Masculine Reminder' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - peer-reminder tone must not slide into urgency-driven sales language,SEED_READY
BOSMAX_SERUM_CP_0010,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Premium Reset Positioning,Closing-beat positioning that reframes the product as a fresh-start choice,"Operators wrapping a script with a forward-looking, aspirational close","Optimistic, composed, forward-facing","LOW-MODERATE - 'reset' must stay framed as a personal choice, not a guaranteed outcome",Tie the reset to a personal decision moment; keep the close aspirational,"Do not promise a specific result, timeline, or transformation",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Premium Reset Positioning' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - 'reset' positioning must avoid implying any guaranteed or timed outcome,SEED_READY
BOSMAX_SERUM_CP_0011,BOSMAX Serum,BOSMAX_SERUM,STEALTH,HSO,Hook -> Story -> Offer,Private Confidence Reset,Opening hook for viewers seeking a quiet personal reset moment,Operators building soft-entry STEALTH lane content for new audiences,"Calm, private, reassuring","LOW - metaphor only, no medical framing",Frame around personal routine and quiet confidence; keep language general,"Do not name body parts, conditions, or imply a medical fix",Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Private Confidence Reset' angle on BOSMAX Serum. HSO structure - open on a relatable hook, carry it through a short story beat, land on the product as the natural offer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - keep all phrasing metaphor-level per compliance class STEALTH_METAPHOR_REQUIRED,SEED_READY
BOSMAX_SERUM_CP_0012,BOSMAX Serum,BOSMAX_SERUM,STEALTH,AIDA,Attention -> Interest -> Desire -> Action,Discreet Night Routine,Evening / wind-down routine framing for low-key product placement,Operators scripting bedtime or end-of-day routine sequences,"Soft-spoken, intimate, unhurried",LOW - lifestyle routine framing only,Anchor the moment in a nightly ritual; let the product sit in the background,Do not escalate into explicit or suggestive language at any point,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Discreet Night Routine' angle on BOSMAX Serum. AIDA structure - open with a clean attention beat, build interest and desire through the routine story, close on a soft action cue. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - night-routine framing must stay lifestyle-only, never clinical or explicit",SEED_READY
BOSMAX_SERUM_CP_0013,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Premium Masculine Self-Care,Positioning the product as part of an upscale self-care standard,Operators targeting audiences who respond to quality / premium cues,"Confident, polished, understated","LOW-MODERATE - keep premium language aspirational, not comparative-medical","Lean on quality, ritual, and self-respect as the throughline",Do not claim superiority over medical products or make efficacy comparisons,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Premium Masculine Self-Care' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - premium positioning must remain lifestyle-grade, not performance-claim grade",SEED_READY
BOSMAX_SERUM_CP_0014,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Soft Stealth Reminder,Light-touch reminder beat placed mid-script to re-anchor the viewer,Operators needing a low-pressure nudge between hook and offer,"Gentle, non-pushy, conversational",LOW - reminder framing carries minimal claim surface,Keep the reminder short and tied back to the routine already established,Do not turn the reminder into a second hard sell or stack new claims onto it,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Soft Stealth Reminder' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - reminder beats must echo the established metaphor, not introduce new claims",SEED_READY
BOSMAX_SERUM_CP_0015,BOSMAX Serum,BOSMAX_SERUM,STEALTH,HSO,Hook -> Story -> Offer,Batch Hook Variant,Variant slot for A/B batch testing across STEALTH creative sets,Operators running multi-variant batches who need controlled hook diversity,Adaptive - matches whichever batch tone the operator selects,LOW - variant role only; underlying claim surface unchanged from base angle,Treat as a structural slot - keep the swapped-in hook within the same metaphor family,Do not introduce a new product story or compliance class mid-batch,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Batch Hook Variant' angle on BOSMAX Serum. HSO structure - open on a relatable hook, carry it through a short story beat, land on the product as the natural offer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - batch variants inherit the base angle's compliance class; do not reclassify per-variant,SEED_READY
BOSMAX_SERUM_CP_0016,BOSMAX Serum,BOSMAX_SERUM,STEALTH,AIDA,Attention -> Interest -> Desire -> Action,Stealth Routine Angle,Core routine-build angle that frames the product as a daily habit,Operators building the primary STEALTH narrative spine for a campaign,"Steady, habit-forming, low-drama",LOW - habit framing keeps claim surface minimal,Build the angle around consistency and a repeatable daily moment,Do not attach outcome promises or before/after framing to the routine,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Stealth Routine Angle' angle on BOSMAX Serum. AIDA structure - open with a clean attention beat, build interest and desire through the routine story, close on a soft action cue. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - routine angles must stay outcome-neutral; no implied results timeline,SEED_READY
BOSMAX_SERUM_CP_0017,BOSMAX Serum,BOSMAX_SERUM,STEALTH,PAS,Problem -> Agitation -> Solution,Confidence Recovery Angle,Angle for viewers re-engaging with self-care after a lapse in routine,Operators targeting a 'getting back on track' emotional entry point,"Warm, encouraging, judgment-free","LOW-MODERATE - keep 'recovery' framed as routine, not remedy","Frame recovery as returning to a personal habit, not fixing a problem",Do not use 'recovery' in a way that implies treating a condition,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Confidence Recovery Angle' angle on BOSMAX Serum. PAS structure - lead with the everyday friction point, build it gently, land on the routine as the natural answer. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.","STEALTH lane - 'recovery' language must read as routine-return, never medical recovery",SEED_READY
BOSMAX_SERUM_CP_0018,BOSMAX Serum,BOSMAX_SERUM,STEALTH,SAVAGE_HPAS,High-pressure hook with Problem -> Agitation -> Solution structure,Personal Care Cue,Short cue line that bridges a lifestyle moment into the product beat,Operators needing a transition line between story and product reveal,"Light, natural, unforced",LOW - bridging cue carries no independent claim,Keep the cue brief and let it flow naturally from the preceding scene,Do not let the cue carry claims that belong in the main angle copy,Seed-ready - review with compliance lead before scaled use,"Use this row for the 'Personal Care Cue' angle on BOSMAX Serum. SAVAGE_HPAS structure - sharper opening hook than standard PAS; keep the agitation beat brief and stay inside the metaphor at all times. Keep all copy inside the STEALTH lane compliance boundary - this guide row is metadata only and does not contain hook, USP, or CTA copy.",STEALTH lane - cue lines must not introduce claims outside the locked angle copy,SEED_READY
