Avatar Context ID,Display Name,Persona Label,Gender,Age Range,Product Fit,Silo,Scene Label,Scene Summary,Mannequin Label,Pose Summary,Wardrobe Style,Best For,Content Type,Use Case,Do,Do Not,Safe Usage Notes,Status,Source Registry,Source Version
BOSMAX_AVP_0001,RIZAL | RIZAL_CASUAL_01 | Quiet Home Reset Corner,Rizal,Male,27-34,BOSMAX Serum,STEALTH,Quiet Home Reset Corner,"Warm indoor private corner with low-noise everyday props and product-neutral framing.",Close Hold Reset,"Standing or seated medium-close talk with one natural hand accent and no static mannequin freeze.","Casual everyday, no headwear","TikTok UGC soft-sell home video; BOSMAX Serum STEALTH lane single and batch rotation",Video / Poster,"Home corner solo UGC delivery for BOSMAX Serum STEALTH lane; ideal for casual personal-routine framing","Use for single-product UGC videos in a private home setting with calm and conversational delivery","Do not use for DIRECT lane content, clinical claims, or Minyak Warisan Cap Burung","STEALTH resolver pack for BOSMAX Serum family. Persona RIZAL with RIZAL_CASUAL_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
BOSMAX_AVP_0002,RIZAL | RIZAL_ACTIVE_01 | Morning Street Confidence Walk,Rizal,Male,27-34,BOSMAX Serum,STEALTH,Morning Street Confidence Walk,"Soft daylight outdoor walkway with authentic motion and subtle background depth.",Walk And Talk,"Slow forward or side-walk delivery with light arm swing and relaxed shoulder posture.","Active sporty, no headwear","TikTok UGC outdoor walk video; BOSMAX Serum STEALTH lane batch rotation",Video,"Outdoor morning walk UGC for BOSMAX Serum STEALTH lane; best for confidence and lifestyle framing","Use for outdoor UGC walk-and-talk videos with natural movement and soft confidence tone","Do not use for DIRECT lane, clinical language, or static pose videos","STEALTH resolver pack for BOSMAX Serum family. Persona RIZAL with RIZAL_ACTIVE_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
BOSMAX_AVP_0003,RIZAL | RIZAL_SMART_01 | Office Confidence Corner,Rizal,Male,27-34,BOSMAX Serum,STEALTH,Office Confidence Corner,"Smart indoor office nook with grounded professional texture and light desk cues.",Desk Reveal Confidence,"Controlled standing or leaning office posture with measured hand reveal and grounded eye line.","Smart-casual office, no headwear","TikTok UGC office-setting video; BOSMAX Serum STEALTH lane professional framing",Video / Poster,"Office nook UGC delivery for BOSMAX Serum STEALTH lane; ideal for professional confidence framing","Use for smart-casual office UGC with measured product reveal and professional tone","Do not use for DIRECT lane, medical claims, or non-BOSMAX Serum products","STEALTH resolver pack for BOSMAX Serum family. Persona RIZAL with RIZAL_SMART_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
BOSMAX_AVP_0004,RIZAL | RIZAL_RAYA_01 | Quiet Home Reset Corner,Rizal,Male,27-34,BOSMAX Serum,STEALTH,Quiet Home Reset Corner,"Warm indoor private corner with low-noise everyday props and product-neutral framing.",Close Hold Reset,"Standing or seated medium-close talk with one natural hand accent and no static mannequin freeze.",Traditional Raya outfit with songkok,"TikTok UGC festive-season home video; BOSMAX Serum STEALTH lane Raya seasonal batch",Video / Poster,"Home corner festive Raya UGC for BOSMAX Serum STEALTH lane; suitable for Raya seasonal campaigns","Use for festive Raya-season UGC in home setting with soft product routine framing","Do not use outside festive context; do not mix with DIRECT lane content","STEALTH resolver pack for BOSMAX Serum family. Persona RIZAL with RIZAL_RAYA_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
BOSMAX_AVP_0005,AZMAN | AZMAN_CASUAL_01 | Quiet Home Reset Corner,Azman,Male,30-38,BOSMAX Serum,STEALTH,Quiet Home Reset Corner,"Warm indoor private corner with low-noise everyday props and product-neutral framing.",Close Hold Reset,"Standing or seated medium-close talk with one natural hand accent and no static mannequin freeze.","Casual everyday, no headwear","TikTok UGC soft-sell home video; BOSMAX Serum STEALTH lane rotation variant (Azman persona)",Video / Poster,"Home corner solo UGC for BOSMAX Serum STEALTH lane with persona Azman; rotation variant for batch diversity","Use as rotation variant alongside BOSMAX_AVP_0001 for STEALTH lane home-setting batch runs","Do not use for DIRECT lane or Minyak Warisan Cap Burung content","STEALTH resolver pack for BOSMAX Serum family. Persona AZMAN with AZMAN_CASUAL_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
BOSMAX_AVP_0006,AZMAN | AZMAN_SMART_01 | Office Confidence Corner,Azman,Male,30-38,BOSMAX Serum,STEALTH,Office Confidence Corner,"Smart indoor office nook with grounded professional texture and light desk cues.",Desk Reveal Confidence,"Controlled standing or leaning office posture with measured hand reveal and grounded eye line.","Smart-casual office, no headwear","TikTok UGC office-setting video; BOSMAX Serum STEALTH lane rotation variant (Azman persona)",Video / Poster,"Office nook UGC for BOSMAX Serum STEALTH lane with persona Azman; rotation variant for batch diversity","Use as rotation variant with BOSMAX_AVP_0003 for office-setting STEALTH batch runs","Do not use for DIRECT lane or non-BOSMAX Serum products","STEALTH resolver pack for BOSMAX Serum family. Persona AZMAN with AZMAN_SMART_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
BOSMAX_AVP_0007,AZMAN | AZMAN_ACTIVE_01 | Morning Street Confidence Walk,Azman,Male,30-38,BOSMAX Serum,STEALTH,Morning Street Confidence Walk,"Soft daylight outdoor walkway with authentic motion and subtle background depth.",Walk And Talk,"Slow forward or side-walk delivery with light arm swing and relaxed shoulder posture.","Active sporty, no headwear","TikTok UGC outdoor walk video; BOSMAX Serum STEALTH lane rotation variant (Azman persona)",Video,"Outdoor walk UGC for BOSMAX Serum STEALTH lane with persona Azman; rotation variant for scene diversity","Use as rotation variant with BOSMAX_AVP_0002 for outdoor STEALTH batch runs","Do not use for DIRECT lane or clinical framing","STEALTH resolver pack for BOSMAX Serum family. Persona AZMAN with AZMAN_ACTIVE_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
BOSMAX_AVP_0008,AZMAN | AZMAN_RAYA_01 | Quiet Home Reset Corner,Azman,Male,30-38,BOSMAX Serum,STEALTH,Quiet Home Reset Corner,"Warm indoor private corner with low-noise everyday props and product-neutral framing.",Close Hold Reset,"Standing or seated medium-close talk with one natural hand accent and no static mannequin freeze.",Traditional Raya outfit with songkok,"TikTok UGC festive-season home video; BOSMAX Serum STEALTH lane Raya batch rotation (Azman persona)",Video / Poster,"Festive Raya home UGC for BOSMAX Serum STEALTH lane with persona Azman; rotation variant for Raya seasonal batch","Use as rotation variant with BOSMAX_AVP_0004 for festive-season STEALTH batch runs","Do not use outside Raya/festive context or for DIRECT lane","STEALTH resolver pack for BOSMAX Serum family. Persona AZMAN with AZMAN_RAYA_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
MWCB_DIRECT_AVP_0001,RIZAL | RIZAL_CASUAL_01 | Household Relief Shelf Reset,Rizal,Male,27-34,Minyak Warisan Cap Burung,DIRECT,Household Relief Shelf Reset,"Warm rumah setting with small household storage cues, everyday reachability, and practical family utility framing.",Bottle Pickup Utility,"Natural household reach, bottle pickup, or side-table explanation gesture with grounded family-man practicality.","Casual everyday, no headwear","TikTok UGC household practical video; Minyak Warisan Cap Burung DIRECT lane single and batch rotation",Video / Poster,"Home shelf pickup UGC for Minyak Warisan Cap Burung DIRECT lane; practical everyday-use framing","Use for practical household product demonstration with natural bottle pickup gesture and conversational delivery","Do not use for STEALTH lane, BOSMAX Serum, or any clinical or medical claim framing","DIRECT resolver pack for Minyak Warisan Cap Burung family. Persona RIZAL with RIZAL_CASUAL_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
MWCB_DIRECT_AVP_0002,AZMAN | AZMAN_CASUAL_01 | On-The-Go Remedy Grab,Azman,Male,30-38,Minyak Warisan Cap Burung,DIRECT,On-The-Go Remedy Grab,"Natural grab-from-bag or dashboard-side readiness moment showing compact everyday carry practicality.",Bag Reach Practicality,"Simple bag, drawer, or car-pocket reach motion showing compact everyday-carry readiness without exaggerated acting.","Casual everyday, no headwear","TikTok UGC on-the-go practical video; Minyak Warisan Cap Burung DIRECT lane batch rotation",Video,"Bag-grab or travel-ready UGC for Minyak Warisan Cap Burung DIRECT lane; compact everyday-carry framing","Use for on-the-go bag reach or pocket grab scenarios showing practical everyday-carry readiness","Do not use for STEALTH lane, BOSMAX Serum, home-setting scenes, or exaggerated acting","DIRECT resolver pack for Minyak Warisan Cap Burung family. Persona AZMAN with AZMAN_CASUAL_01. Manual override requires Needs Compliance Review.",APPROVED,avatar_context_rotation.yaml,2026-06-05T16:01:39+00:00
